127.0.0.1 - - [27/Jan/2024:22:32:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:22 +0700] "GET /hoangkimmobile/ HTTP/1.1" 200 22617
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:22 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:22 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:22 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:22 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:27 +0700] "GET /hoangkimmobile/?lang=vi_VN HTTP/1.1" 200 22242
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:27 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:27 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:27 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:27 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:28 +0700] "GET /hoangkimmobile/RegisterServlet HTTP/1.1" 200 14256
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:28 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:28 +0700] "GET /hoangkimmobile/js/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:28 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:22:32:28 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:49 +0700] "GET /hoangkimmobile/SearchServlet?action=Search+by+brand&name=apple HTTP/1.1" 200 22336
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:49 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:49 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:49 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:49 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:50 +0700] "GET /hoangkimmobile/ProductDetailServlet?productID=2 HTTP/1.1" 200 13866
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:50 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:50 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:14:50 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:49:05 +0700] "GET /hoangkimmobile/ProductDetailServlet?productID=2&lang=vi_VN HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:49:05 +0700] "GET /hoangkimmobile/js/jquery.twbsPagination.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:49:05 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [27/Jan/2024:23:49:05 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
